{{Passive skill
|id                                  = atlas_keystone_maven_
|int_id                              = 56188
|name                                = Throw the Gauntlet
|flavour_text                        = You must rise from mere amusement to respected equal.
|is_keystone                         = True
|is_atlas_passive                    = True
|icon                                = UberMavenKeystone
|stat1_id                            = atlas_keystone_uber_maven
|stat1_value                         = 1
|stat2_id                            = maven_boss_map_monster_damage_taken_+%_final
|stat2_value                         = -50
|stat3_id                            = atlas_keystone_uber_maven_display_bonus
|stat3_value                         = 1
|stat_text                           = The Absence of Mercy and Empathy is [[Level|level]] 85<br />The Maven's full power is unleashed in The Absence of Mercy and Empathy<br>The Maven drops an Elevated Sextant
}}
