{{Mod
|id                               = RampageProjectileSpiral
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MonsterProjectileSpiral
|mod_type                         = MonsterProjectileSpiral
|game_mode                        = 0
|stat_text                        = [[Skill|Skills]] fire 24 additional Projectiles (Hidden)
|stat1_id                         = number_of_additional_projectiles
|stat1_min                        = 24
|stat1_max                        = 24
|stat2_id                         = projectiles_nova
|stat2_min                        = 1
|stat2_max                        = 1
}}
