{{Mod
|id                               = CritChanceWithClawJewel
|mod_groups                       = SpecificWeaponCritChance
|domain                           = 10
|generation_type                  = 1
|required_level                   = 1
|name                             = of the Eagle FIX ME
|mod_type                         = CritChanceWithClawForJewel
|stat_text                        = (12-16)% increased [[Critical Strike Chance]] with [[Claw|Claws]]
|stat1_id                         = claw_critical_strike_chance_+%
|stat1_min                        = 12
|stat1_max                        = 16
|spawn_weight1_tag                = claw
|spawn_weight1_value              = 0
|spawn_weight2_tag                = specific_weapon
|spawn_weight2_value              = 0
|spawn_weight3_tag                = not_dex
|spawn_weight3_value              = 0
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = attack, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
