{{Mod
|id                               = SpellAddedLightningDamageTwoHand9_
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 74
|name                             = Electrocuting
|mod_type                         = SpellAddedLightningDamageTwoHand
|stat_text                        = Adds (7-20) to (255-270) [[Lightning Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_lightning_damage
|stat1_min                        = 7
|stat1_max                        = 20
|stat2_id                         = spell_maximum_added_lightning_damage
|stat2_min                        = 255
|stat2_max                        = 270
|spawn_weight1_tag                = attack_staff
|spawn_weight1_value              = 0
|spawn_weight2_tag                = staff
|spawn_weight2_value              = 800
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|generation_weight1_tag           = has_caster_mod
|generation_weight1_value         = 100
|generation_weight2_tag           = has_attack_mod
|generation_weight2_value         = 50
|generation_weight3_tag           = default
|generation_weight3_value         = 100
|tags                             = elemental_damage, caster_damage, damage, elemental, lightning, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
