{{Mod
|id                               = AncestorTotemBuffEffectUnique__1
|mod_groups                       = AncestorTotemBuffEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AncestorTotemBuffEffect
|stat_text                        = 100% increased Effect of Buffs your Ancestor [[Totem|Totems]] grant while Active
|stat1_id                         = ancestor_totem_buff_effect_+%
|stat1_min                        = 100
|stat1_max                        = 100
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
