{{Base item
|rarity_id                               = normal
|name                                    = The Awakened
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Some seek to change the world. Others change the world as a consequence of what they seek.
|drop_level                              = 80
|tags                                    = jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheAwakened
|stack_size                              = 6
|description                             = {{c|rare|Jewellery}}<br>{{c|default|Item Level:}} {{c|normal|86}}<br>{{c|default|Double-Influenced Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
