{{Mod
|id                               = MaximumFrenzyChargesUnique__1
|mod_groups                       = MaximumFrenzyCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MaximumFrenzyCharges
|stat_text                        = +1 to Maximum [[Frenzy Charge|Frenzy Charges]]
|stat1_id                         = max_frenzy_charges
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = frenzy_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
