{{Passive skill
|id                                  = affliction_notable_hibernator
|int_id                              = 19508
|name                                = Hibernator
|is_notable                          = True
|icon                                = ColdResistNotable
|stat1_id                            = base_self_freeze_duration_-%
|stat1_value                         = 30
|stat2_id                            = chill_effectiveness_on_self_+%
|stat2_value                         = -30
|stat3_id                            = unaffected_by_chilled_ground
|stat3_value                         = 1
|stat4_id                            = cannot_be_frozen_if_you_have_been_frozen_recently
|stat4_value                         = 1
|stat_text                           = 30% reduced [[Freeze]] Duration on you<br>30% reduced Effect of Chill on you<br>Unaffected by Chilled Ground<br>You cannot be [[Freeze|Frozen]] if you've been [[Freeze|Frozen]] [[Recently]]
}}
