{{Mod
|id                               = LifeGainPerTargetUber1
|mod_groups                       = LifeGainPerTarget
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Elder's
|mod_type                         = LifeGainPerTarget
|stat_text                        = Gain (10-15) [[Life]] per Enemy [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = base_life_gain_per_target
|stat1_min                        = 10
|stat1_max                        = 15
|spawn_weight1_tag                = ring_elder
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, life, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
