{{Base item
|rarity_id                               = normal
|name                                    = Tattoo of the Rongokurai Makanga
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 1
|tags                                    = currency, default
|metadata_id                             = Metadata/Items/Currency/AncestralTattooRongokurai7
|stack_size                              = 10
|help_text                               = Right click this item then left click a valid Passive Skill. Maximum 50 Tattoos.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
|tattoo_target                           = Small Strength
|implicit1_text                          = {{c|default|Replaces a}} {{c|value|Small Strength}} {{c|default|Passive Skill}}
|tattoo_max_adjacent                     = 1
|implicit2_text                          = {{c|default|Requires}} {{c|value|Maximum 1}} {{c|default|adjacent Passive Skill Allocated}}
|tattoo_stat_text                        = 8% chance to Defend with 200% of Armour
|description                             = Grants "8% chance to Defend with 200% of [[Armour]]"
}}
