{{Mod
|id                               = FlaskBuffReducedManaCostWhileHealing5
|domain                           = 2
|generation_type                  = 2
|required_level                   = 80
|name                             = of the Sorcerer
|mod_groups                       = LocalFlaskSkillManaCostDuringFlaskEffect
|mod_type                         = LocalFlaskSkillManaCostDuringFlaskEffect
|game_mode                        = 0
|stat_text                        = (29-26)% reduced [[Mana]] Cost of [[Skill|Skills]] during Effect
|stat1_id                         = local_flask_skill_mana_cost_+%_during_flask_effect
|stat1_min                        = -29
|stat1_max                        = -26
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = flask, resource, mana
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
