{{Passive skill
|id                                  = AscendancyOccultist7
|int_id                              = 37127
|name                                = Profane Bloom
|ascendancy_class                    = Occultist
|is_notable                          = True
|icon                                = LotusExtract (Occultist)
|stat1_id                            = explode_cursed_enemies_for_25%_life_as_chaos_on_kill_chance_%
|stat1_value                         = 50
|stat_text                           = Cursed Enemies you or your [[Minion|Minions]] [[Kill]] have a 50% chance to Explode, dealing a quarter of their maximum [[Life]] as [[Chaos Damage]]
|connections                         = AscendancyOccultist1
}}
