{{Passive skill
|id                                  = energised_fortress_keystone2853
|int_id                              = 58556
|name                                = Divine Shield
|flavour_text                        = My faith is my shield.
|is_keystone                         = True
|icon                                = EnergisedFortress
|stat1_id                            = keystone_divine_shield
|stat1_value                         = 1
|stat_text                           = Cannot Recover [[Energy Shield]] to above Armour<br />3% of [[Physical Damage]] prevented from [[Hit|Hits]] [[Recently]] is Regenerated as [[Energy Shield]] per second
|connections                         = strength780,strength780
}}
