{{Mod
|id                               = AddedDamagePerDexterityUnique__1
|mod_groups                       = PhysicalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AddedDamagePerDexterity
|stat_text                        = Adds 1 to 3 [[Physical Damage]] to [[Attack|Attacks]] per 25 [[Dexterity]]
|stat1_id                         = attack_minimum_added_physical_damage_per_25_dexterity
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = attack_maximum_added_physical_damage_per_25_dexterity
|stat2_min                        = 3
|stat2_max                        = 3
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
