{{Passive skill
|id                                  = two_hand_overwhelm2972
|int_id                              = 28728
|name                                = Two Handed Melee Damage and Ignore Physical Damage Reduction
|icon                                = 2handeddamage
|stat1_id                            = two_handed_melee_physical_damage_+%
|stat1_value                         = 14
|stat2_id                            = two_handed_melee_weapon_ailment_damage_+%
|stat2_value                         = 14
|stat3_id                            = hits_ignore_enemy_monster_physical_damage_reduction_%_chance
|stat3_value                         = 15
|stat_text                           = 14% increased [[Physical Damage]] with [[Two Handed Melee Weapons]]<br>[[Attack|Attacks]] with [[Two Handed Melee Weapons]] deal 14% increased Damage with Ailments<br>[[Hit|Hits]] have 15% chance to ignore Enemy [[Physical Damage]] Reduction
|connections                         = two_hand_stun_notable2548,two_hand_stun2545,two_hand_stun_notable2548
}}
