{{Passive skill
|id                                  = general_aura_notable1791
|int_id                              = 33718
|name                                = Champion of the Cause
|is_notable                          = True
|icon                                = Champion
|stat1_id                            = non_curse_aura_effect_+%
|stat1_value                         = 6
|stat2_id                            = base_reservation_efficiency_+%
|stat2_value                         = 8
|stat3_id                            = base_aura_area_of_effect_+%
|stat3_value                         = 12
|stat_text                           = 6% increased effect of Non-Curse Auras from your [[Skill|Skills]]<br>8% increased Reservation Efficiency of [[Skill|Skills]]<br>12% increased Area of Effect of Aura [[Skill|Skills]]
|connections                         = mastery_reservation207,aura_banner2426,aura_area_of_effect1202,mastery_reservation207
}}
