{{Base item
|rarity_id                               = normal
|name                                    = Lachrymal Necrosis
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Without the ability to weep, the heart hardens against both the pure and the corrupt.
|drop_level                              = 33
|tags                                    = jewellery_divination, corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardLachrymalNecrosis
|stack_size                              = 3
|description                             = {{c|rare|Jewel}}<br>{{c|enchanted|Implicit Modifier:}} <br>{{c|magic|Corrupted Blood cannot be inflicted on you}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
