{{Passive skill
|id                                  = AscendancyHeirophant10
|int_id                              = 34434
|name                                = Ritual of Awakening
|ascendancy_class                    = Hierophant
|is_notable                          = True
|icon                                = AncestralZeal (Hierophant)
|stat1_id                            = you_and_totem_life_regeneration_rate_per_minute_%_per_active_totem
|stat1_value                         = 60
|stat2_id                            = mana_regeneration_rate_per_minute_%_per_active_totem
|stat2_value                         = 30
|stat3_id                            = hierophant_passive_damage_+%_final_per_totem
|stat3_value                         = 5
|stat_text                           = You and your [[Totem|Totems]] Regenerate 1% of [[Life]] per second for each Summoned [[Totem]]<br>Regenerate 0.5% of [[Mana]] per second for each Summoned [[Totem]]<br>5% more Damage per Summoned [[Totem]]
|connections                         = AscendancyHeirophant3
}}
