{{Passive skill
|id                                  = atlas_keystone_searing_exarch
|int_id                              = 36777
|name                                = Thirst for Knowledge
|flavour_text                        = Constellations are systematically incinerated in the wake of an ever-expanding archive of minds.
|is_keystone                         = True
|is_atlas_passive                    = True
|icon                                = SearingExarchKeystone
|stat1_id                            = atlas_keystone_uber_searing_exarch
|stat1_value                         = 1
|stat2_id                            = searing_exarch_boss_map_monster_damage_taken_+%_final
|stat2_value                         = -70
|stat3_id                            = searing_exarch_duplicate_currency_chance_%
|stat3_value                         = 50
|stat_text                           = The Absence of Patience and Wisdom is [[Level|level]] 85<br />The Searing Exarch's full power is unleashed in The Absence of Patience and Wisdom<br>Eldritch Currency Items dropped by The Searing Exarch have 50% chance to be Duplicated
}}
