{{Mod
|id                               = LinkSkillsCostLifeUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = LinkSkillsCostLife
|mod_type                         = LinkSkillsCostLife
|game_mode                        = 0
|stat_text                        = [DNT] Link [[Skill|Skills]] Cost [[Life]] instead of [[Mana]]
|stat1_id                         = link_skill_cost_life_instead_of_mana
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
