{{Mod
|id                               = WeaponTreeSupportGenerosity2HHardMode
|mod_groups                       = WeaponTreeSupportGenerosity
|domain                           = 1
|generation_type                  = 31
|required_level                   = 38
|granted_skill                    = SupportGenerosity
|mod_type                         = WeaponTreeSupportGenerosity
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Generosity Support|Level 25 Generosity]]
|stat1_id                         = local_display_socketed_gems_get_generosity_level
|stat1_min                        = 25
|stat1_max                        = 25
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 25
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
