{{Passive skill
|id                                  = affliction_notable_thunderstruck
|int_id                              = 35430
|name                                = Thunderstruck
|is_notable                          = True
|icon                                = IncreasedNonDamageAilmentNotable
|stat1_id                            = lightning_damage_+%
|stat1_value                         = 20
|stat2_id                            = critical_strike_chance_+%
|stat2_value                         = 30
|stat3_id                            = critical_strikes_always_knockback_shocked_enemies
|stat3_value                         = 1
|stat_text                           = 20% increased [[Lightning Damage]]<br>30% increased [[Critical Strike Chance]]<br>Your Critical Strikes Knock Back [[Shock|Shocked]] Enemies
}}
