{{Passive skill
|id                                  = nightstalker261
|int_id                              = 56276
|name                                = Nightstalker
|is_notable                          = True
|icon                                = nightstalker
|stat1_id                            = critical_strike_multiplier_with_dagger_+
|stat1_value                         = 30
|stat2_id                            = base_life_leech_from_attack_damage_permyriad
|stat2_value                         = 60
|stat3_id                            = base_mana_leech_from_attack_damage_permyriad
|stat3_value                         = 60
|stat_text                           = +30% to [[Critical Strike Multiplier]] with [[Dagger|Daggers]]<br>0.6% of [[Attack Damage]] Leeched as [[Life]]<br>0.6% of [[Attack Damage]] Leeched as [[Mana]]
|connections                         = mastery_dagger77,dagger_damage_and_critical_strike_chance257,dagger_damage_and_critical_strike_chance258
}}
