{{Mod
|id                               = NecropolisEvasion2
|domain                           = 36
|generation_type                  = 34
|required_level                   = 46
|mod_groups                       = NecropolisEvasion
|mod_type                         = NecropolisEvasion
|game_mode                        = 0
|stat_text                        = +30% chance to Evade [[Attack]] [[Hit|Hits]]
|stat1_id                         = chance_to_evade_attacks_%
|stat1_min                        = 30
|stat1_max                        = 30
|stat2_id                         = monster_necropolis_mod_value_+%
|stat2_min                        = 80
|stat2_max                        = 80
|spawn_weight1_tag                = default
|spawn_weight1_value              = 600
}}
