{{Mod
|id                               = SupportedByFasterCastCorrupted
|mod_groups                       = DisplaySocketedGemsGetFasterCast
|domain                           = 1
|generation_type                  = 5
|required_level                   = 24
|granted_skill                    = SupportFasterCast
|mod_type                         = DisplaySocketedGemsGetFasterCast
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Faster Casting Support|Level 10 Faster Casting]]
|stat1_id                         = local_display_socketed_gems_get_faster_cast_level
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = sceptre
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
