{{Mod
|id                               = PassiveEffectivenessJewelUnique__1_
|mod_groups                       = PassiveJewelGrantsRadius
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PassiveEffectivenessJewel
|stat_text                        = 50% increased Effect of non-Keystone Passive [[Skill|Skills]] in Radius<br>Notable Passive [[Skill|Skills]] in Radius grant nothing
|stat1_id                         = local_unique_jewel_non_keystone_passive_in_radius_effect_+%
|stat1_min                        = 50
|stat1_max                        = 50
|stat2_id                         = local_unique_jewel_notable_passive_in_radius_does_nothing
|stat2_min                        = 1
|stat2_max                        = 1
|stat3_id                         = local_jewel_effect_base_radius
|stat3_min                        = 1500
|stat3_max                        = 1500
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
