{{Mod
|id                               = AnimalCharmManaReservationEfficiency1
|mod_groups                       = AnimalCharmManaReservationEfficiency
|domain                           = 35
|generation_type                  = 1
|required_level                   = 45
|name                             = Hierophant's
|mod_type                         = AnimalCharmManaReservationEfficiency
|stat_text                        = (4-7)% increased [[Mana Reservation]] Efficiency of [[Skill|Skills]]
|stat1_id                         = base_mana_reservation_efficiency_+%
|stat1_min                        = 4
|stat1_max                        = 7
|spawn_weight1_tag                = int_animal_charm
|spawn_weight1_value              = 250
|spawn_weight2_tag                = str_animal_charm
|spawn_weight2_value              = 250
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
