{{Passive skill
|id                                  = affliction_notable_deep_cuts
|int_id                              = 56760
|name                                = Deep Cuts
|is_notable                          = True
|icon                                = IncreasedAttackDamageNotable
|stat1_id                            = attacks_impale_on_hit_%_chance
|stat1_value                         = 15
|stat2_id                            = impaled_debuff_number_of_reflected_hits
|stat2_value                         = 1
|stat_text                           = 15% chance to Impale Enemies on [[Hit]] with [[Attack|Attacks]]<br>Impales you inflict last 1 additional [[Hit]]
}}
