{{Passive skill
|id                                  = AlternateAscendancyWardenTracking1
|int_id                              = 29212
|name                                = Detect Evil
|is_notable                          = True
|icon                                = WardenTracking (Warden)
|stat1_id                            = warden_tracker
|stat1_value                         = 1
|stat2_id                            = hits_against_marked_enemy_cannot_be_blocked_or_suppressed
|stat2_value                         = 1
|stat_text                           = Rare and Unique Enemies within 120 metres have Minimap Icons<br>Your [[Hit|Hits]] against Marked Enemy cannot be Blocked or Suppressed
|connections                         = AlternateAscendancyWardenSmall6
}}
