{{Passive skill
|id                                  = AscendancyElementalist14
|int_id                              = 258
|name                                = Bringer of Ruin
|ascendancy_class                    = Elementalist
|is_notable                          = True
|icon                                = ElemancerIcon (Elementalist)
|stat1_id                            = herald_effect_on_self_+%
|stat1_value                         = 66
|stat2_id                            = herald_skills_mana_reservation_efficiency_+%
|stat2_value                         = 66
|stat_text                           = 66% increased Effect of Herald Buffs on you<br>66% increased [[Mana Reservation]] Efficiency of Herald [[Skill|Skills]]
|connections                         = AscendancyElementalist13
}}
