{{Mod
|id                               = SupportedByIgniteProliferationUnique1
|mod_groups                       = SupportedByIgniteProliferation
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportIgniteProliferation
|mod_type                         = SupportedByIgniteProliferation
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Ignite Proliferation Support|Level 20 Ignite Proliferation]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_ignite_proliferation
|stat1_min                        = 20
|stat1_max                        = 20
|tags                             = support, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
