{{Mod
|id                               = MinionAttackAndCastSpeedEnhancedMod
|mod_groups                       = MinionAttackSpeedAndCastSpeed
|domain                           = 1
|generation_type                  = 2
|required_level                   = 1
|name                             = of Citaqualotl
|mod_type                         = MinionAttackAndCastSpeedOnWeapon
|stat_text                        = [[Minion|Minions]] have (13-15)% increased [[Attack Speed]]<br>[[Minion|Minions]] have (13-15)% increased [[Cast Speed]]
|stat1_id                         = minion_attack_speed_+%
|stat1_min                        = 13
|stat1_max                        = 15
|stat2_id                         = minion_cast_speed_+%
|stat2_min                        = 13
|stat2_max                        = 15
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = attack, caster, speed, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
