{{Mod
|id                               = TotemDamageSpellUber2
|mod_groups                       = TotemSupported
|domain                           = 1
|generation_type                  = 2
|required_level                   = 75
|name                             = of the Elder
|granted_skill                    = SupportSpellTotem
|mod_type                         = TotemDamageSpellSupported
|stat_text                        = (26-30)% increased [[Totem]] Damage<br>[[Item socket|Socketed]] Gems are Supported by [[Spell Totem Support|Level 20 Spell Totem]]
|stat1_id                         = totem_damage_+%
|stat1_min                        = 26
|stat1_max                        = 30
|stat2_id                         = local_display_socketed_gems_get_spell_totem_level
|stat2_min                        = 20
|stat2_max                        = 20
|spawn_weight1_tag                = boots_elder
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, damage, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
