{{Passive skill
|id                                  = two_handed_damage646
|int_id                              = 43412
|name                                = Two Handed Melee Damage
|icon                                = 2handeddamage
|stat1_id                            = two_handed_melee_physical_damage_+%
|stat1_value                         = 12
|stat2_id                            = two_handed_melee_weapon_ailment_damage_+%
|stat2_value                         = 12
|stat_text                           = 12% increased [[Physical Damage]] with [[Two Handed Melee Weapons]]<br>[[Attack|Attacks]] with [[Two Handed Melee Weapons]] deal 12% increased Damage with Ailments
|connections                         = executioner648,might819,two_hand_damage1862,might819
}}
