{{Item
|rarity_id                               = normal
|name                                    = Abyss Scarab of Profound Depth
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The deeper we dig, the more we find, be it fortune or foe.
|drop_level                              = 78
|tags                                    = scarab, scarab_grants_extra_content, abyss_scarab, mythic_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabAbyssNew5
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Monsters from Abysses in Areas have increased Difficulty and Reward for<br>each prior Pit in that Abyss
|stack_size_currency_tab                 = 5000
|map_fragment_bonus1                     = ScarabAbyssNew5
}}
