{{Skill
|gem_description                         = Supports melee attack skills. Minions cannot gain rage.
|skill_id                                = SupportRageRoyale
|support_gem_letter                      = g
|required_level                          = 4
|static_cost_multiplier                  = 130
|static_damage_effectiveness             = 100
|static_damage_multiplier                = 100
|static_attack_speed_multiplier          = 100
|static_stat1_id                         = attack_maximum_added_physical_damage_per_10_rage
|static_stat1_value                      = 2
|static_stat2_id                         = attack_minimum_added_physical_damage_per_10_rage
|static_stat2_value                      = 1
|static_stat3_id                         = attack_maximum_added_physical_damage_per_10_rage
|static_stat3_value                      = 2
|static_stat4_id                         = support_rage_gain_rage_on_melee_hit_cooldown_ms
|static_stat4_value                      = 400
|stat_text                               = Supported Attacks deal 0 to 2 added Physical Damage with Weapons per 10 Rage<br>Supported Attacks deal 1 to 2 added Physical Damage with Weapons per 10 Rage<br>Supported Attacks deal (2-24) to (4-37) added Physical Damage with Weapons while you have at least 10 Rage<br>Supported Skills grant 1 Rage on Melee Hit, no more than once every 0.4 seconds
|level1                                  = True
|level1_level_requirement                = 4
|level1_stat_text                        = Supported Attacks deal 2 to 4 added Physical Damage with Weapons while you have at least 10 Rage
|level1_stat1_id                         = attack_minimum_added_physical_damage_with_at_least_10_rage
|level1_stat1_value                      = 2
|level1_stat2_id                         = attack_maximum_added_physical_damage_with_at_least_10_rage
|level1_stat2_value                      = 4
|level2                                  = True
|level2_level_requirement                = 6
|level2_stat_text                        = Supported Attacks deal 3 to 4 added Physical Damage with Weapons while you have at least 10 Rage
|level2_stat1_id                         = attack_minimum_added_physical_damage_with_at_least_10_rage
|level2_stat1_value                      = 3
|level2_stat2_id                         = attack_maximum_added_physical_damage_with_at_least_10_rage
|level2_stat2_value                      = 4
|level3                                  = True
|level3_level_requirement                = 9
|level3_stat_text                        = Supported Attacks deal 4 to 6 added Physical Damage with Weapons while you have at least 10 Rage
|level3_stat1_id                         = attack_minimum_added_physical_damage_with_at_least_10_rage
|level3_stat1_value                      = 4
|level3_stat2_id                         = attack_maximum_added_physical_damage_with_at_least_10_rage
|level3_stat2_value                      = 6
|level4                                  = True
|level4_level_requirement                = 12
|level4_stat_text                        = Supported Attacks deal 5 to 8 added Physical Damage with Weapons while you have at least 10 Rage
|level4_stat1_id                         = attack_minimum_added_physical_damage_with_at_least_10_rage
|level4_stat1_value                      = 5
|level4_stat2_id                         = attack_maximum_added_physical_damage_with_at_least_10_rage
|level4_stat2_value                      = 8
|level5                                  = True
|level5_level_requirement                = 16
|level5_stat_text                        = Supported Attacks deal 7 to 10 added Physical Damage with Weapons while you have at least 10 Rage
|level5_stat1_id                         = attack_minimum_added_physical_damage_with_at_least_10_rage
|level5_stat1_value                      = 7
|level5_stat2_id                         = attack_maximum_added_physical_damage_with_at_least_10_rage
|level5_stat2_value                      = 10
|level6                                  = True
|level6_level_requirement                = 20
|level6_stat_text                        = Supported Attacks deal 9 to 14 added Physical Damage with Weapons while you have at least 10 Rage
|level6_stat1_id                         = attack_minimum_added_physical_damage_with_at_least_10_rage
|level6_stat1_value                      = 9
|level6_stat2_id                         = attack_maximum_added_physical_damage_with_at_least_10_rage
|level6_stat2_value                      = 14
|level7                                  = True
|level7_level_requirement                = 24
|level7_stat_text                        = Supported Attacks deal 12 to 18 added Physical Damage with Weapons while you have at least 10 Rage
|level7_stat1_id                         = attack_minimum_added_physical_damage_with_at_least_10_rage
|level7_stat1_value                      = 12
|level7_stat2_id                         = attack_maximum_added_physical_damage_with_at_least_10_rage
|level7_stat2_value                      = 18
|level8                                  = True
|level8_level_requirement                = 28
|level8_stat_text                        = Supported Attacks deal 15 to 23 added Physical Damage with Weapons while you have at least 10 Rage
|level8_stat1_id                         = attack_minimum_added_physical_damage_with_at_least_10_rage
|level8_stat1_value                      = 15
|level8_stat2_id                         = attack_maximum_added_physical_damage_with_at_least_10_rage
|level8_stat2_value                      = 23
|level9                                  = True
|level9_level_requirement                = 32
|level9_stat_text                        = Supported Attacks deal 19 to 29 added Physical Damage with Weapons while you have at least 10 Rage
|level9_stat1_id                         = attack_minimum_added_physical_damage_with_at_least_10_rage
|level9_stat1_value                      = 19
|level9_stat2_id                         = attack_maximum_added_physical_damage_with_at_least_10_rage
|level9_stat2_value                      = 29
|level10                                 = True
|level10_level_requirement               = 36
|level10_stat_text                       = Supported Attacks deal 24 to 37 added Physical Damage with Weapons while you have at least 10 Rage
|level10_stat1_id                        = attack_minimum_added_physical_damage_with_at_least_10_rage
|level10_stat1_value                     = 24
|level10_stat2_id                        = attack_maximum_added_physical_damage_with_at_least_10_rage
|level10_stat2_value                     = 37
}}
