{{Mod
|id                               = TravelSkillsReflectPoisonUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 57
|mod_groups                       = TravelSkillsReflectPoison
|mod_type                         = TravelSkillsReflectPoison
|game_mode                        = 0
|stat_text                        = [[Poison]] you inflict with Travel [[Skill|Skills]] is Reflected to you if you<br />have fewer than 5 [[Poison|Poisons]] on you
|stat1_id                         = travel_skills_poison_reflected_to_self_up_to_5_poisons
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
