{{Passive skill
|id                                  = leather_and_steel1458
|int_id                              = 21435
|name                                = Cloth and Chain
|is_notable                          = True
|icon                                = newevadepercentage
|stat1_id                            = evasion_and_physical_damage_reduction_rating_+%
|stat1_value                         = 24
|stat2_id                            = base_resist_all_elements_%
|stat2_value                         = 12
|stat_text                           = 24% increased [[Evasion Rating]] and [[Armour]]<br>+12% to all [[Elemental Resistance|Elemental Resistances]]
|connections                         = armour_and_evasion1453,armour_and_evasion1454,mastery_evasion115,mastery_evasion115
}}
