{{Mod
|id                               = MapSimulacrumCastSpeedAndHinder2
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MapSimulacrumMonsterSpeedPlus
|mod_type                         = MapSimulacrumCastSpeedAndHinder
|game_mode                        = 0
|stat_text                        = Monsters have 25% chance to Hinder on [[Hit]] with [[Spell|Spells]]
|stat1_id                         = map_monsters_spells_chance_to_hinder_on_hit_%_chance
|stat1_min                        = 25
|stat1_max                        = 25
|tags                             = caster, speed
}}
