{{Passive skill
|id                                  = elemental_damage1725
|int_id                              = 47312
|name                                = Elemental Damage and Resistances
|icon                                = elementaldamage
|stat1_id                            = elemental_damage_+%
|stat1_value                         = 10
|stat2_id                            = base_resist_all_elements_%
|stat2_value                         = 3
|stat_text                           = 10% increased [[Elemental Damage]]<br>+3% to all [[Elemental Resistance|Elemental Resistances]]
|connections                         = elemental_damage1726,intelligence884,elemental_damage1726
}}
