{{Mod
|id                               = VillageMeleeAttacksUsableWithoutLife
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MeleeAttacksUsableWithoutMana
|mod_type                         = MeleeAttacksUsableWithoutLife
|game_mode                        = 0
|stat_text                        = Insufficient [[Life]] doesn't prevent your Melee [[Attack|Attacks]]
|stat1_id                         = melee_attacks_usable_without_life_cost
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = village_runesmithing_enchant
}}
