{{Mod
|id                               = NecropolisCraftingChaosDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 1
|name                             = Haunted
|mod_groups                       = ChaosDamage
|mod_type                         = ChaosDamage
|game_mode                        = 0
|stat_text                        = Adds (13-17) to (23-29) [[Chaos Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_chaos_damage
|stat1_min                        = 13
|stat1_max                        = 17
|stat2_id                         = attack_maximum_added_chaos_damage
|stat2_min                        = 23
|stat2_max                        = 29
|spawn_weight1_tag                = necropolis_gloves
|spawn_weight1_value              = 750
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = chaos_damage, necropolis_exclusive_mod, damage, chaos, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
