{{Mod
|id                               = EinharMasterAddedPhysicalDamage1
|mod_groups                       = PhysicalDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 20
|name                             = Upgraded
|mod_type                         = PhysicalDamage
|stat_text                        = Adds (3-5) to (6-8) [[Physical Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage
|stat1_min                        = 3
|stat1_max                        = 5
|stat2_id                         = attack_maximum_added_physical_damage
|stat2_min                        = 6
|stat2_max                        = 8
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
