{{Mod
|id                               = VillageAttackColdDamageEnergyShield
|mod_groups                       = AttackDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AttackColdDamageEnergyShield
|stat_text                        = Adds 5% of your Maximum [[Energy Shield]] as [[Cold Damage]] to [[Attack|Attacks]] with this Weapon
|stat1_id                         = attacks_with_this_weapon_maximum_es_%_to_add_as_cold_damage
|stat1_min                        = 5
|stat1_max                        = 5
|tags                             = elemental_damage, village_runesmithing_enchant, damage, elemental, cold, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
