{{Passive skill
|id                                  = AlternateAscendancyVoodooShamanHexes2
|int_id                              = 699
|name                                = Foul Pact
|is_notable                          = True
|icon                                = VoodooShamanCurses2 (VoodooShaman)
|stat1_id                            = enemies_pacified_by_you_take_+%_damage
|stat1_value                         = 20
|stat2_id                            = minions_affected_by_affliction_have_onslaught
|stat2_value                         = 1
|stat3_id                            = penance_mark_phantasms_grant_%_increased_flask_charges
|stat3_value                         = 50
|stat4_id                            = penance_mark_phantasms_chance_to_grant_vaal_soul_on_death_%
|stat4_value                         = 50
|stat_text                           = Enemies Pacified by you take 20% increased Damage<br>[[Minion|Minions]] affected by Affliction have [[Onslaught]]<br>Phantasms from Penance Mark grant 50% increased [[Flask]] [[Charge|Charges]]<br>Phantasms from Penance Mark have a 50% chance to grant a Vaal Soul when Killed
|connections                         = AlternateAscendancyVoodooShamanSmall6
}}
