{{Mod
|id                               = CannotBeAffectedByFlasksUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 38
|mod_groups                       = CannotBeAffectedByFlasks
|mod_type                         = CannotBeAffectedByFlasks
|game_mode                        = 0
|stat_text                        = [[Flask|Flasks]] do not apply to you
|stat1_id                         = cannot_be_affected_by_flasks
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = flask
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
