{{Mod
|id                               = GlobalChanceToBlindOnHitInfluenceMaven
|mod_groups                       = BlindOnHit
|domain                           = 1
|generation_type                  = 2
|required_level                   = 90
|name                             = of Elevated Redemption
|mod_type                         = GlobalChanceToBlindOnHitMaven
|stat_text                        = (12-15)% Global chance to Blind Enemies on [[Hit|hit]]<br>(20-30)% increased Damage with [[Hit|Hits]] and Ailments against Blinded Enemies
|stat1_id                         = global_chance_to_blind_on_hit_%
|stat1_min                        = 12
|stat1_max                        = 15
|stat2_id                         = damage_+%_vs_blinded_enemies
|stat2_min                        = 20
|stat2_max                        = 30
|spawn_weight1_tag                = gloves_eyrie
|spawn_weight1_value              = 0
|spawn_weight2_tag                = quiver_eyrie
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = damage
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
