{{Mod
|id                               = RecombinatorSpecialMaximumPowerCharge
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = Sentinel's
|mod_groups                       = IncreasedMaximumPowerCharges
|mod_type                         = IncreasedMaximumPowerCharges
|game_mode                        = 0
|stat_text                        = +1 to Maximum [[Power Charge|Power Charges]]
|stat1_id                         = max_power_charges
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = power_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
