{{Passive skill
|id                                  = affliction_notable_insatiable_killer
|int_id                              = 23232
|name                                = Insatiable Killer
|is_notable                          = True
|icon                                = DualWieldingDamage
|stat1_id                            = attack_skills_damage_+%_while_dual_wielding
|stat1_value                         = 20
|stat2_id                            = attack_speed_while_dual_wielding_+%
|stat2_value                         = 5
|stat3_id                            = add_frenzy_charge_on_kill_%_chance_while_dual_wielding
|stat3_value                         = 5
|stat_text                           = [[Attack]] [[Skill|Skills]] deal 20% increased Damage while [[Dual Wield|Dual Wielding]]<br>5% increased [[Attack Speed]] while [[Dual Wield|Dual Wielding]]<br>5% chance to gain a [[Frenzy Charge]] on [[Kill]] while [[Dual Wield|Dual Wielding]]
}}
