{{Passive skill
|id                                  = AscendancyCustomChieftan18
|int_id                              = 45368
|name                                = Exhibit 126: Lioneye's Shield
|ascendancy_class                    = Chieftain
|is_notable                          = True
|icon                                = StrengthOfBlood
|stat1_id                            = block_chance_from_equipped_shield_is_%
|stat1_value                         = 50
|stat2_id                            = physical_ranged_attack_damage_taken_+
|stat2_value                         = -100
|stat_text                           = Gain 50% Chance to [[Block]] from Equipped [[Shield]] instead of the [[Shield]]'s value<br>-100 [[Physical Damage]] taken from Projectile [[Attack|Attacks]]
}}
