{{Mod
|id                               = MinionLeechDelve___
|mod_groups                       = MinionLifeLeech
|domain                           = 1
|generation_type                  = 1
|required_level                   = 60
|name                             = Subterranean
|mod_type                         = MinionLifeLeech
|stat_text                        = [[Minion|Minions]] [[Leech]] 1% of Damage as [[Life]]
|stat1_id                         = minion_life_leech_from_any_damage_permyriad
|stat1_min                        = 100
|stat1_max                        = 100
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = resource, life, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
