{{Mod
|id                               = LifeCostAsManaCostUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = LifeCostAsManaCost
|mod_type                         = LifeCostAsManaCost
|game_mode                        = 0
|stat_text                        = [[Skill|Skills]] gain a Base [[Life]] Cost equal to 100% of Base [[Mana]] Cost
|stat1_id                         = base_skill_gain_life_cost_%_of_mana_cost
|stat1_min                        = 100
|stat1_max                        = 100
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
