{{Mod
|id                               = TinctureCullingStrikeUnique__1
|mod_groups                       = WeaponCullingStrike
|domain                           = 34
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = WeaponCullingStrike
|stat_text                        = Melee Weapon [[Attack|Attacks]] have Culling Strike
|stat1_id                         = culling_strike_with_tinctured_weapons
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
