{{Passive skill
|id                                  = dual_wield_movement2303
|int_id                              = 34560
|name                                = Dual Wield Spell Damage and Movement Speed
|icon                                = DualWieldNodeOffensive
|stat1_id                            = spell_damage_+%_while_dual_wielding
|stat1_value                         = 10
|stat2_id                            = movement_speed_+%_while_dual_wielding
|stat2_value                         = 3
|stat_text                           = 10% increased [[Spell Damage]] while [[Dual Wield|Dual Wielding]]<br>3% increased [[Movement Speed]] while [[Dual Wield|Dual Wielding]]
|connections                         = dual_wield_cast_speed2299,dual_wield_movement2302
}}
