{{Passive skill
|id                                  = affliction_notable_fan_of_blades
|int_id                              = 39738
|name                                = Fan of Blades
|is_notable                          = True
|icon                                = DaggerandClawDamage
|stat1_id                            = attack_skill_additional_num_projectiles_while_wielding_claws_daggers
|stat1_value                         = 1
|stat2_id                            = projectile_attack_damage_+%_with_claw_or_dagger
|stat2_value                         = 20
|stat_text                           = [[Attack]] [[Skill|Skills]] fire an additional Projectile while wielding a [[Claw]] or [[Dagger]]<br>20% increased Projectile [[Attack Damage]] with [[Claw|Claws]] or [[Dagger|Daggers]]
}}
