{{Passive skill
|id                                  = affliction_notable_wind-up
|int_id                              = 1067
|name                                = Wind-up
|is_notable                          = True
|icon                                = DaggerandClawDamage
|stat1_id                            = power_charge_on_non_critical_strike_%_chance_with_claws_daggers
|stat1_value                         = 10
|stat2_id                            = critical_strike_multiplier_+%_with_claws_daggers
|stat2_value                         = 15
|stat_text                           = 10% chance to gain a [[Power Charge]] on Non-Critical Strike with a [[Claw]] or [[Dagger]]<br>+15% to [[Critical Strike Multiplier]] with [[Claw|Claws]] or [[Dagger|Daggers]]
}}
