{{Mod
|id                               = ScarabSulphiteNew3
|domain                           = 14
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ScarabMod
|mod_type                         = ScarabModSulphiteEnrage
|game_mode                        = 0
|stat_text                        = Sulphite in Area is guarded by Monsters from the Azurite [[Mine|Mines]]<br />Sulphite in Area releases Enraging Fumes
|stat1_id                         = map_enraging_sulphite
|stat1_min                        = 1
|stat1_max                        = 1
}}
