{{Passive skill
|id                                  = curse_mitigation2835
|int_id                              = 54954
|name                                = Curse and Chaos Resistance
|icon                                = CursemitigationclusterNode
|stat1_id                            = curse_effect_on_self_+%
|stat1_value                         = -6
|stat2_id                            = base_chaos_damage_resistance_%
|stat2_value                         = 6
|stat_text                           = 6% reduced Effect of [[Curse|Curses]] on you<br>+6% to [[Chaos Resistance]]
|connections                         = curse_mitigation2834,intelligence890
}}
