{{Mod
|id                               = DisplaySupportedByHypothermiaUnique__1
|mod_groups                       = Supported
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportDamageAgainstChilled
|mod_type                         = DisplaySupportedByHypothermia
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Hypothermia Support|Level 15 Hypothermia]]
|stat1_id                         = local_display_socketed_gems_supported_by_x_hypothermia
|stat1_min                        = 15
|stat1_max                        = 15
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
