{{Mod
|id                               = SupportedByClusterTrapUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = TrapSupported
|granted_skill                    = SupportClusterTraps
|mod_type                         = SupportedByClusterTrap
|game_mode                        = 0
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 16 Cluster [[Trap]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_cluster_trap
|stat1_min                        = 16
|stat1_max                        = 16
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
