{{Mod
|id                               = LifeLeechOnFrozenEnemiesUniqueRing19
|mod_groups                       = LifeLeechOnFrozenEnemies
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LifeLeechOnFrozenEnemies
|stat_text                        = 1% of Damage against [[Freeze|Frozen]] Enemies Leeched as [[Life]]
|stat1_id                         = old_do_not_use_life_leech_%_vs_frozen_enemies
|stat1_min                        = 5
|stat1_max                        = 5
|tags                             = resource, life
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
