{{Passive skill
|id                                  = weapon_damage1883
|int_id                              = 38777
|name                                = Melee Damage
|icon                                = damagemelee
|stat1_id                            = melee_physical_damage_+%
|stat1_value                         = 12
|stat2_id                            = melee_weapon_ailment_damage_+%
|stat2_value                         = 12
|stat_text                           = 12% increased Melee [[Physical Damage]]<br>[[Attack|Attacks]] with Melee Weapons deal 12% increased Damage with Ailments
|connections                         = one_handed_damage1235,strong_arm118,two_handed_weapon_damage603,strong_arm118
}}
