{{Mod
|id                               = V2AddedColdDamageCorrupted3
|mod_groups                       = AddedColdDamageToSpellsAndAttacks
|domain                           = 1
|generation_type                  = 5
|required_level                   = 81
|mod_type                         = AddedColdDamageToSpellsAndAttacks
|stat_text                        = Adds (12-16) to (24-28) [[Cold Damage]] to [[Spell|Spells]] and [[Attack|Attacks]]
|stat1_id                         = spell_and_attack_minimum_added_cold_damage
|stat1_min                        = 12
|stat1_max                        = 16
|stat2_id                         = spell_and_attack_maximum_added_cold_damage
|stat2_min                        = 24
|stat2_max                        = 28
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, attack, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
