{{Passive skill
|id                                  = AscendancyGuardian13
|int_id                              = 16745
|name                                = Armour and Energy Shield, Minion Damage
|ascendancy_class                    = Guardian
|icon                                = Minion Damage Armour and Energy Shield (Guardian)
|stat1_id                            = physical_damage_reduction_rating_+%
|stat1_value                         = 14
|stat2_id                            = maximum_energy_shield_+%
|stat2_value                         = 5
|stat3_id                            = minion_damage_+%
|stat3_value                         = 10
|stat_text                           = 14% increased [[Armour]]<br>5% increased maximum [[Energy Shield]]<br>[[Minion|Minions]] deal 10% increased Damage
|connections                         = AscendancyGuardian16,AscendancyGuardian14,AscendancyGuardian16
}}
